website,social_media,community_event,family/friend,current_student,ccm_alumni,teacher,counselor,app_advertisement,employer,billboard,tv,radio,heard_other,affordable_cost,location,program_choice,virtual_campus,personal_referral,faculty_referral,reputation,financial_aid,scholarships,class_size,extracurricular,transfer_credits,previous_exp,nj_stars,transfer_opps,dual_enrollment,open_house,idd,ccm_idd,titans_tuesday,women_who_dare,college_fair,share_time,challenger,cybersecurity,info_session_hs,hs_visit,individual_visit,workforce_class,corporate_training,teen_arts,summer_camp,comp_hs_class,comp_hs_club,comp_competitions,comp_afterschool_camp,comp_summer_camp,comp_ap_class,comp_dual_enroll,comp_friend_family,comp_personal_ref,comp_teacher_counselor,comp_employer,comp_current_student,comp_work_exp,comp_influence_other,current_program,motivation_job_computing,motivation_transfer_bachelors,motivation_transfer_credits_hs,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_stay_current_tech,motivation_it_certifications,motivation_financial,motivation_personal_enrichment,info_hs_counselor,info_hs_teacher,info_it_website,info_ccm_admissions,info_ccm_advisor,info_employer,info_ccm_workforce,info_nj_workforce,info_other,gender,race_ethnicity,age
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technologies ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,White/Caucasian,21-24
No,No,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,CIS Game Development Option,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Don't recall,Don't recall,No,No,No,No,No,No,Don't recall,Man,Hispanic or Latino;White/Caucasian;Multi-Racial,18 and younger
No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Man,Hispanic or Latino;Asian,18 and younger
Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Mechanical Engineering,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,Hispanic or Latino,19-20
No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Don't recall,Don't recall,No,No,No,Yes,No,No,Yes,Man,Asian,19-20
No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Undecided,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,White/Caucasian,21-24
Yes,Yes,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Business Admin,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,Asian,19-20
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Woman,Asian,19-20
No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,"Technical Studies, Applied Associate of Science",Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,Woman,Hispanic or Latino,18 and younger
No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Man,White/Caucasian,18 and younger
No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Man,Hispanic or Latino,19-20
Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,electrical engineering technology,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Man,Hispanic or Latino,18 and younger
No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Man,Hispanic or Latino;White/Caucasian,18 and younger
No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Man,Hispanic or Latino,25-34
